event_id,n_images,img_first,img_last,has_target,touch_crosswalk,has_flow,wrong_way,direction,cos_to_flow
36,3,IM_26517.JPG,IM_26519.JPG,True,False,True,NA,NA,NA
37,2,IM_26535.JPG,IM_26536.JPG,False,False,True,NA,NA,NA
38,4,IM_26544.JPG,IM_26548.JPG,False,False,True,NA,NA,NA
39,2,IM_26572.JPG,IM_26573.JPG,False,False,True,NA,NA,NA
40,2,IM_26589.JPG,IM_26590.JPG,False,False,True,NA,NA,NA
41,3,IM_26613.JPG,IM_26615.JPG,True,False,True,NA,NA,NA
42,5,IM_26627.JPG,IM_26632.JPG,False,False,True,NA,NA,NA
43,1,IM_26653.JPG,IM_26653.JPG,True,False,True,NA,NA,NA
44,3,IM_26684.JPG,IM_26686.JPG,True,False,True,NA,NA,NA
45,1,IM_26713.JPG,IM_26713.JPG,True,False,True,NA,NA,NA
46,2,IM_26719.JPG,IM_26721.JPG,True,False,True,NA,NA,NA
47,2,IM_26745.JPG,IM_26746.JPG,False,False,True,NA,NA,NA
48,4,IM_26775.JPG,IM_26778.JPG,True,False,True,NA,NA,NA
49,2,IM_26787.JPG,IM_26788.JPG,False,False,True,NA,NA,NA
50,4,IM_26793.JPG,IM_26796.JPG,False,False,True,NA,NA,NA
51,1,IM_26805.JPG,IM_26805.JPG,True,False,True,NA,NA,NA
52,3,IM_26811.JPG,IM_26813.JPG,False,False,True,NA,NA,NA
53,3,IM_26823.JPG,IM_26825.JPG,False,False,True,NA,NA,NA
54,2,IM_26831.JPG,IM_26832.JPG,False,False,True,NA,NA,NA
55,3,IM_26838.JPG,IM_26840.JPG,False,False,True,NA,NA,NA
56,1,IM_26860.JPG,IM_26860.JPG,False,False,True,NA,NA,NA
57,8,IM_26877.JPG,IM_26884.JPG,True,False,True,True,against_flow,-0.6303570465981606
58,6,IM_26887.JPG,IM_26894.JPG,False,False,True,NA,NA,NA
59,1,IM_26897.JPG,IM_26897.JPG,False,False,True,NA,NA,NA
60,2,IM_26907.JPG,IM_26908.JPG,False,False,True,NA,NA,NA
61,3,IM_26927.JPG,IM_26929.JPG,True,False,True,False,along_flow,0.850950076480072
62,2,IM_26945.JPG,IM_26946.JPG,False,False,True,NA,NA,NA
63,2,IM_26951.JPG,IM_26953.JPG,False,False,True,NA,NA,NA
64,2,IM_26963.JPG,IM_26964.JPG,False,False,True,NA,NA,NA
65,7,IM_26973.JPG,IM_26980.JPG,False,False,True,NA,NA,NA
66,3,IM_26983.JPG,IM_26985.JPG,False,False,True,NA,NA,NA
67,1,IM_26993.JPG,IM_26993.JPG,False,False,True,NA,NA,NA
68,3,IM_26997.JPG,IM_26999.JPG,False,False,True,NA,NA,NA
69,4,IM_27037.JPG,IM_27040.JPG,True,False,True,NA,NA,NA
70,4,IM_27051.JPG,IM_27054.JPG,True,False,True,NA,NA,NA
71,2,IM_27067.JPG,IM_27068.JPG,False,False,True,NA,NA,NA
72,2,IM_27095.JPG,IM_27096.JPG,False,False,True,NA,NA,NA
73,5,IM_27112.JPG,IM_27116.JPG,False,False,True,NA,NA,NA
74,5,IM_27126.JPG,IM_27130.JPG,False,False,True,NA,NA,NA
75,1,IM_27139.JPG,IM_27139.JPG,True,False,True,NA,NA,NA
76,3,IM_27158.JPG,IM_27160.JPG,False,False,True,NA,NA,NA
77,2,IM_27168.JPG,IM_27169.JPG,False,False,True,NA,NA,NA
78,3,IM_27173.JPG,IM_27175.JPG,True,False,True,NA,NA,NA
79,11,IM_27186.JPG,IM_27196.JPG,True,False,True,NA,NA,NA
80,1,IM_27229.JPG,IM_27229.JPG,False,False,True,NA,NA,NA
81,3,IM_27237.JPG,IM_27239.JPG,True,False,True,NA,NA,NA
82,7,IM_27293.JPG,IM_27300.JPG,True,False,True,NA,NA,NA
83,2,IM_27313.JPG,IM_27314.JPG,True,False,True,NA,NA,NA
84,2,IM_27319.JPG,IM_27320.JPG,True,False,True,NA,NA,NA
85,1,IM_27337.JPG,IM_27337.JPG,False,False,True,NA,NA,NA
86,5,IM_27355.JPG,IM_27360.JPG,False,False,True,NA,NA,NA
87,1,IM_27386.JPG,IM_27386.JPG,False,False,True,NA,NA,NA
88,1,IM_27397.JPG,IM_27397.JPG,True,False,True,NA,NA,NA
89,1,IM_27411.JPG,IM_27411.JPG,True,False,True,NA,NA,NA
90,1,IM_27445.JPG,IM_27445.JPG,True,False,True,NA,NA,NA
91,1,IM_27451.JPG,IM_27451.JPG,True,False,True,NA,NA,NA
92,2,IM_27479.JPG,IM_27480.JPG,False,False,True,NA,NA,NA
93,2,IM_27485.JPG,IM_27486.JPG,False,False,True,NA,NA,NA
94,2,IM_27494.JPG,IM_27495.JPG,False,False,True,NA,NA,NA
95,3,IM_27498.JPG,IM_27500.JPG,False,False,True,NA,NA,NA
96,2,IM_27505.JPG,IM_27506.JPG,False,False,True,NA,NA,NA
97,3,IM_27510.JPG,IM_27512.JPG,False,False,True,NA,NA,NA
98,12,IM_27521.JPG,IM_27532.JPG,True,False,True,True,against_flow,-0.9996742570565397
99,6,IM_27536.JPG,IM_27541.JPG,False,False,True,NA,NA,NA
100,4,IM_27549.JPG,IM_27552.JPG,True,False,True,NA,NA,NA
101,3,IM_27555.JPG,IM_27557.JPG,False,False,True,NA,NA,NA
102,2,IM_27565.JPG,IM_27566.JPG,False,False,True,NA,NA,NA
103,2,IM_27571.JPG,IM_27572.JPG,True,False,True,NA,NA,NA
104,1,IM_27597.JPG,IM_27597.JPG,False,False,True,NA,NA,NA
105,1,IM_27610.JPG,IM_27610.JPG,False,False,True,NA,NA,NA
106,4,IM_27621.JPG,IM_27624.JPG,True,False,True,NA,NA,NA
107,2,IM_27641.JPG,IM_27642.JPG,False,False,True,NA,NA,NA
108,1,IM_27677.JPG,IM_27677.JPG,False,False,True,NA,NA,NA
109,1,IM_27686.JPG,IM_27686.JPG,False,False,True,NA,NA,NA
110,2,IM_27697.JPG,IM_27698.JPG,False,False,True,NA,NA,NA
111,1,IM_27702.JPG,IM_27702.JPG,False,False,True,NA,NA,NA
112,1,IM_27715.JPG,IM_27715.JPG,False,False,True,NA,NA,NA
113,1,IM_27725.JPG,IM_27725.JPG,False,False,True,NA,NA,NA
114,2,IM_27741.JPG,IM_27742.JPG,True,False,True,NA,NA,NA
115,1,IM_27753.JPG,IM_27753.JPG,True,False,True,NA,NA,NA
116,3,IM_27761.JPG,IM_27763.JPG,True,False,True,NA,NA,NA
117,1,IM_27781.JPG,IM_27781.JPG,True,False,True,NA,NA,NA
118,1,IM_27801.JPG,IM_27801.JPG,True,False,True,NA,NA,NA
119,1,IM_27819.JPG,IM_27819.JPG,False,False,True,NA,NA,NA
120,2,IM_27849.JPG,IM_27850.JPG,False,False,True,NA,NA,NA
121,7,IM_27853.JPG,IM_27860.JPG,False,False,True,NA,NA,NA
122,2,IM_27863.JPG,IM_27864.JPG,False,False,True,NA,NA,NA
123,2,IM_27883.JPG,IM_27884.JPG,False,False,True,NA,NA,NA
124,1,IM_27899.JPG,IM_27899.JPG,False,False,True,NA,NA,NA
125,3,IM_27907.JPG,IM_27910.JPG,False,False,True,NA,NA,NA
126,1,IM_27925.JPG,IM_27925.JPG,False,False,True,NA,NA,NA
127,2,IM_27939.JPG,IM_27940.JPG,False,False,True,NA,NA,NA
128,1,IM_27961.JPG,IM_27961.JPG,False,False,True,NA,NA,NA
129,4,IM_27967.JPG,IM_27971.JPG,True,False,True,NA,NA,NA
130,1,IM_28000.JPG,IM_28000.JPG,False,False,True,NA,NA,NA
131,1,IM_28011.JPG,IM_28011.JPG,False,False,True,NA,NA,NA
132,1,IM_28029.JPG,IM_28029.JPG,False,False,True,NA,NA,NA
133,1,IM_28052.JPG,IM_28052.JPG,False,False,True,NA,NA,NA
134,1,IM_28062.JPG,IM_28062.JPG,False,False,True,NA,NA,NA
135,1,IM_28090.JPG,IM_28090.JPG,False,False,True,NA,NA,NA
136,1,IM_28130.JPG,IM_28130.JPG,True,False,True,NA,NA,NA
137,1,IM_28137.JPG,IM_28137.JPG,False,False,True,NA,NA,NA
138,1,IM_28140.JPG,IM_28140.JPG,False,False,True,NA,NA,NA
139,2,IM_28148.JPG,IM_28150.JPG,False,False,True,NA,NA,NA
140,1,IM_28153.JPG,IM_28153.JPG,True,False,True,NA,NA,NA
141,1,IM_28158.JPG,IM_28158.JPG,True,False,True,NA,NA,NA
142,1,IM_28170.JPG,IM_28170.JPG,True,False,True,NA,NA,NA
143,1,IM_28174.JPG,IM_28174.JPG,False,False,True,NA,NA,NA
144,1,IM_28177.JPG,IM_28177.JPG,False,False,True,NA,NA,NA
145,1,IM_28194.JPG,IM_28194.JPG,False,False,True,NA,NA,NA
146,2,IM_28228.JPG,IM_28229.JPG,False,False,True,NA,NA,NA
147,1,IM_28275.JPG,IM_28275.JPG,False,False,True,NA,NA,NA
148,2,IM_28305.JPG,IM_28306.JPG,False,False,True,NA,NA,NA
149,1,IM_28336.JPG,IM_28336.JPG,False,False,True,NA,NA,NA
150,1,IM_28405.JPG,IM_28405.JPG,False,False,True,NA,NA,NA
151,1,IM_28427.JPG,IM_28427.JPG,True,False,True,NA,NA,NA
152,3,IM_28459.JPG,IM_28461.JPG,True,False,True,NA,NA,NA
153,2,IM_28548.JPG,IM_28550.JPG,False,False,True,NA,NA,NA
154,2,IM_28581.JPG,IM_28582.JPG,False,False,True,NA,NA,NA
155,2,IM_28601.JPG,IM_28602.JPG,False,False,True,NA,NA,NA
156,2,IM_28665.JPG,IM_28666.JPG,False,False,True,NA,NA,NA
157,2,IM_28687.JPG,IM_28688.JPG,False,False,True,NA,NA,NA
158,4,IM_28714.JPG,IM_28719.JPG,False,False,True,NA,NA,NA
159,9,IM_28723.JPG,IM_28732.JPG,True,False,True,NA,NA,NA
160,2,IM_28737.JPG,IM_28738.JPG,False,False,True,NA,NA,NA
161,4,IM_28743.JPG,IM_28746.JPG,False,False,True,NA,NA,NA
162,1,IM_28758.JPG,IM_28758.JPG,False,False,True,NA,NA,NA
163,2,IM_28765.JPG,IM_28766.JPG,False,False,True,NA,NA,NA
164,2,IM_28787.JPG,IM_28788.JPG,False,False,True,NA,NA,NA
165,2,IM_28793.JPG,IM_28794.JPG,False,False,True,NA,NA,NA
